name,manufacturer,approval_status,generic_name,brand_price,generic_price
PASKALIUM,GLENWOOD,Approved,POTASSIUM AMINOSALICYLATE,0,0
DELESTROGEN,PAR STERILE PRODUCTS,Approved,ESTRADIOL VALERATE,0,0
LOTUSATE,SANOFI AVENTIS US,Approved,TALBUTAL,0,0
NESACAINE,FRESENIUS KABI USA,Approved,CHLOROPROCAINE HYDROCHLORIDE,0,0
NESACAINE-MPF,FRESENIUS KABI USA,Approved,CHLOROPROCAINE HYDROCHLORIDE,0,0
ACYLANID,NOVARTIS,Approved,ACETYLDIGITOXIN,0,0
MULTIFUGE,BLULINE,Approved,PIPERAZINE CITRATE,0,0
SERPATE,VALE,Approved,RESERPINE,0,0
CORTISONE ACETATE,IMPAX LABS,Approved,CORTISONE ACETATE,0,0
XYLOCAINE VISCOUS,FRESENIUS KABI USA,Approved,LIDOCAINE HYDROCHLORIDE,0,0
RAUWOLFIA SERPENTINA,BUNDY,Approved,RAUWOLFIA SERPENTINA ROOT,0,0
BENADRYL PRESERVATIVE FREE,MCNEIL CONS,Approved,DIPHENHYDRAMINE HYDROCHLORIDE,0,0
PATHILON,LEDERLE,Approved,TRIDIHEXETHYL CHLORIDE,0,0
MAREZINE,GLAXOSMITHKLINE,Approved,CYCLIZINE LACTATE,0,0
ARAMINE,MERCK,Approved,METARAMINOL BITARTRATE,0,0
DORIDEN,SANOFI AVENTIS US,Approved,GLUTETHIMIDE,0,0
HYPAQUE,GE HEALTHCARE,Approved,DIATRIZOATE SODIUM,0,0
HYPAQUE SODIUM 20%,GE HEALTHCARE,Approved,DIATRIZOATE SODIUM,0,0
CORT-DOME,BAYER PHARMS,Approved,HYDROCORTISONE,0,0
RESERPINE,IMPAX LABS,Approved,RESERPINE,0,0
HISERPIA,BOWMAN PHARMS,Approved,RESERPINE,0,0
