""," SL No"," NLEM Version"," Formulation"," Dosage & Strength"," SO Number"," SO Date"," Ceiling Price ( Excluding Taxes) (Rs.)(Per Unit)"
"","24","2015","Budesonide","Nasal Spray 50 MCG","1581(E)","25-Mar-2026","₹ 1.30(1 Dose)"
"","25","2015","Budesonide","Inhalation 100 MCG","1581(E)","25-Mar-2026","₹ 2.55(Per Dose)"
"","26","2015","Calcium Carbonate","Tablet 500 mg","1581(E)","25-Mar-2026","₹ 2.20(1 Tablet)"
"","27","2015","Calcium gluconate","Injection 100 mg","1581(E)","25-Mar-2026","₹ 0.69(1 ML)"
"","28","2015","Cefadroxil","Capsule 500 mg","1581(E)","25-Mar-2026","₹ 9.11(1 Capsule)"
"","29","2015","Cefazolin","Powder For Injection 1000 mg","1581(E)","25-Mar-2026","₹ 31.29(Each Pack)"
"","30","2015","Cefazolin","Powder For Injection 500 mg","1581(E)","25-Mar-2026","₹ 19.84(Each Pack)"
"","31","2015","Cefixime","Capsule 400 mg","1581(E)","25-Mar-2026","₹ 37.28(1 Capsule)"
"","32","2015","Cetirizine","Capsule 10 mg","1581(E)","25-Mar-2026","₹ 3.03(1 Capsule)"
"","33","2015","Chlorhexidine","Solution (concentrate for dilution) 5%","1581(E)","25-Mar-2026","₹ 0.19(1 ML)"
"","34","2015","Cloxacillin","Tablet 250 mg","1581(E)","25-Mar-2026","₹ 2.20(1 Tablet)( Pack)"
"","35","2015","Cloxacillin","Powder 250 mg","1581(E)","25-Mar-2026","₹ 5.67(Each Pack)"
"","36","2015","Coagulation factor
IX","Powder For Injection 600 IU","1581(E)","25-Mar-2026","₹ 15708.08(Each Pack)"
"","37","2015","Coagulation factor
VIII","Powder For Injection 250 IU","1581(E)","25-Mar-2026","₹ 4761.81(Each Pack)"
"","38","2015","Coagulation factor
VIII","Powder For Injection 500 IU","1581(E)","25-Mar-2026","₹ 11685.13(Each Pack)"
"","39","2015","Cyclosporine","Injection 50 mg/ml","1581(E)","25-Mar-2026","₹ 343.86(1 ML)"
